2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"6]       CLibXLiveImpl::setAppSettingPath 	FL:LibXLiveImpl.cpp(212)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CLibXLiveImpl::setExcludeFolderPath 	FL:LibXLiveImpl.cpp(273)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CSyncManager::delFolderItemsByPath 	FL:SyncManager.cpp(201)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[OUT 0'0"2]       CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/04/27 09:38:51	T	xlive 	3916:4332 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
